"","county","month","rate"
"279","Kalkaska","6",15.1
"280","Kalkaska","7",10.2
"281","Kent","1",2.8
"282","Kent","2",2.4
"283","Kent","3",2.5
"284","Kent","4",21.3
"285","Kent","5",17.3
"286","Kent","6",12.4
"287","Kent","7",8.7
"288","Keweenaw","1",6.9
"289","Keweenaw","2",5.4
"290","Keweenaw","3",5.8
"291","Keweenaw","4",19.5
"292","Keweenaw","5",17.2
"293","Keweenaw","6",13.7
"294","Keweenaw","7",9.9
"295","Lake","1",7.1
"296","Lake","2",6
"297","Lake","3",5.6
"298","Lake","4",30.2
"299","Lake","5",21.8
"300","Lake","6",15.2
"301","Lake","7",11.7
"302","Lapeer","1",6.5
"303","Lapeer","2",5.7
"304","Lapeer","3",6.6
"305","Lapeer","4",30.3
"306","Lapeer","5",26.7
"307","Lapeer","6",18.2
"308","Lapeer","7",8.9
"309","Leelanau","1",4.4
"310","Leelanau","2",3.9
"311","Leelanau","3",4.1
"312","Leelanau","4",22
"313","Leelanau","5",17.1
"314","Leelanau","6",11.1
"315","Leelanau","7",7.1
"316","Lenawee","1",4.3
"317","Lenawee","2",3.4
"318","Lenawee","3",3.4
"319","Lenawee","4",28.1
"320","Lenawee","5",22.5
"321","Lenawee","6",13.1
"322","Lenawee","7",8.8
"323","Livingston","1",3.2
"324","Livingston","2",3
"325","Livingston","3",3.7
"326","Livingston","4",21.6
"327","Livingston","5",19.7
"328","Livingston","6",14
"329","Livingston","7",7.1
"330","Luce","1",7
"331","Luce","2",5.9
"332","Luce","3",5.8
"333","Luce","4",19.9
"334","Luce","5",14.9
"335","Luce","6",10.7
"336","Luce","7",8.1
"337","Mackinac","1",20.3
"338","Mackinac","2",17.9
"339","Mackinac","3",16.8
"340","Mackinac","4",37.9
"341","Mackinac","5",30.3
"342","Mackinac","6",15
"343","Mackinac","7",6.8
"344","Macomb","1",4.7
"345","Macomb","2",3.7
"346","Macomb","3",4.6
"347","Macomb","4",27.1
"348","Macomb","5",25.5
"349","Macomb","6",18.3
"350","Macomb","7",9.8
"351","Manistee","1",6.6
"352","Manistee","2",5.8
"353","Manistee","3",5.7
"354","Manistee","4",31.5
"355","Manistee","5",23.8
"356","Manistee","6",16
"357","Manistee","7",11.2
"358","Marquette","1",5.4
"359","Marquette","2",4.7
"360","Marquette","3",4.6
"361","Marquette","4",20.7
"362","Marquette","5",17.8
"363","Marquette","6",13.1
"364","Marquette","7",8.1
"365","Mason","1",6.2
"366","Mason","2",5.2
"367","Mason","3",5
"368","Mason","4",25.4
"369","Mason","5",18.9
"370","Mason","6",12.8
"371","Mason","7",9.1
"372","Mecosta","1",5.5
"373","Mecosta","2",4.7
"374","Mecosta","3",4.5
"375","Mecosta","4",25.7
"376","Mecosta","5",18.7
"377","Mecosta","6",13.4
"378","Mecosta","7",8.9
"379","Menominee","1",4.6
"380","Menominee","2",3.8
"381","Menominee","3",3.8
"382","Menominee","4",14.6
"383","Menominee","5",12.7
"384","Menominee","6",9
"385","Menominee","7",6.6
"386","Midland","1",4.3
"387","Midland","2",3.7
"388","Midland","3",3.7
"389","Midland","4",20.2
"390","Midland","5",15.8
"391","Midland","6",11.1
"392","Midland","7",7.9
"393","Missaukee","1",6.2
"394","Missaukee","2",5.2
"395","Missaukee","3",4.9
"396","Missaukee","4",27.6
"397","Missaukee","5",19.2
"398","Missaukee","6",12.6
"399","Missaukee","7",8.8
"400","Monroe","1",4.3
"401","Monroe","2",3.4
"402","Monroe","3",3.2
"403","Monroe","4",26.1
"404","Monroe","5",21.4
"405","Monroe","6",13.4
"406","Monroe","7",9.2
"407","Montcalm","1",4.4
"408","Montcalm","2",3.7
"409","Montcalm","3",3.7
"410","Montcalm","4",26.6
"411","Montcalm","5",20.1
"412","Montcalm","6",13.9
"413","Montcalm","7",9.5
"414","Montmorency","1",12
"415","Montmorency","2",9.4
"416","Montmorency","3",8.6
"417","Montmorency","4",34
"418","Montmorency","5",25.2
"419","Montmorency","6",18.7
"420","Montmorency","7",13.2
"421","Muskegon","1",4.4
"422","Muskegon","2",3.8
"423","Muskegon","3",3.9
"424","Muskegon","4",29.1
"425","Muskegon","5",24.8
