"","COUNTY","CTYNAME","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","AA_MALE","AA_FEMALE","IA_MALE","IA_FEMALE","NA_MALE","NA_FEMALE","H_MALE","H_FEMALE","TOM_MALE","TOM_FEMALE","TOT_WA","TOT_BA","TOT_AA","TOT_IA","TOT_NA","TOT_H","TOT_TOM"
"4770",41,"Delta",0,35784,17774,18010,16628,16883,85,58,77,100,490,512,2,7,295,263,492,450,33511,143,177,1002,9,558,942
"4787",41,"Delta",17,1094,504,590,487,571,0,0,0,4,11,7,0,0,2,4,6,8,1058,0,4,18,0,6,14
"4788",41,"Delta",18,1183,409,774,405,752,1,1,0,6,2,6,0,0,2,1,1,9,1157,2,6,8,0,3,10
"4998",43,"Dickinson",0,25239,12694,12545,12198,12081,73,64,77,94,135,119,16,4,233,203,195,183,24279,137,171,254,20,436,378
"5015",43,"Dickinson",17,687,310,377,305,376,0,0,1,0,0,1,0,0,1,0,4,0,681,0,1,1,0,1,4
"5016",43,"Dickinson",18,909,346,563,341,556,0,0,1,4,4,1,0,0,1,3,0,2,897,0,5,5,0,4,2
"5226",45,"Eaton",0,110268,54192,56076,47108,48961,3894,4030,1457,1305,311,280,23,17,3121,3126,1399,1483,96069,7924,2762,591,40,6247,2882
"5243",45,"Eaton",17,2361,994,1367,937,1304,37,38,9,15,3,2,0,0,21,29,8,8,2241,75,24,5,0,50,16
"5244",45,"Eaton",18,2249,830,1419,792,1345,19,50,11,10,1,2,1,0,17,32,6,12,2137,69,21,3,1,49,18
"5454",47,"Emmet",0,33415,16510,16905,15235,15649,147,103,88,120,645,634,13,29,307,300,382,370,30884,250,208,1279,42,607,752
"5471",47,"Emmet",17,866,408,458,399,437,0,0,0,0,5,18,0,0,0,7,4,3,836,0,0,23,0,7,7
"5472",47,"Emmet",18,888,294,594,284,574,0,0,2,2,4,12,0,0,2,1,4,6,858,0,4,16,0,3,10
"5682",49,"Genesee",0,405813,195701,210112,148808,156767,38257,44071,1907,2261,1090,1206,59,49,7148,7341,5580,5758,305575,82328,4168,2296,108,14489,11338
"5699",49,"Genesee",17,8750,3549,5201,3011,4316,475,796,36,39,7,21,0,1,42,71,20,28,7327,1271,75,28,1,113,48
"5700",49,"Genesee",18,8937,3153,5784,2676,4934,451,764,21,39,1,11,0,0,62,60,4,36,7610,1215,60,12,0,122,40
"5910",51,"Gladwin",0,25449,12857,12592,12491,12225,87,52,46,72,76,86,4,3,266,232,153,154,24716,139,118,162,7,498,307
"5927",51,"Gladwin",17,849,409,440,399,431,2,0,0,2,1,4,0,0,2,2,7,3,830,2,2,5,0,4,10
"5928",51,"Gladwin",18,657,259,398,252,392,0,0,0,2,1,3,0,0,3,8,6,1,644,0,2,4,0,11,7
"6138",53,"Gogebic",0,13975,7091,6884,6644,6437,53,34,19,49,238,235,6,1,137,114,131,128,13081,87,68,473,7,251,259
"6155",53,"Gogebic",17,466,200,266,197,261,0,0,0,0,2,3,0,0,0,2,1,2,458,0,0,5,0,2,3
"6156",53,"Gogebic",18,582,200,382,197,372,1,0,0,4,2,4,0,0,1,4,0,2,569,1,4,6,0,5,2
"6366",55,"Grand Traverse",0,93088,45499,47589,43143,45364,456,266,308,433,610,636,29,27,1420,1339,953,863,88507,722,741,1246,56,2759,1816
"6383",55,"Grand Traverse",17,2056,867,1189,851,1168,4,1,0,4,5,9,0,0,11,7,7,7,2019,5,4,14,0,18,14
"6384",55,"Grand Traverse",18,2337,789,1548,777,1538,1,1,3,5,0,1,0,0,1,6,8,3,2315,2,8,1,0,7,11
"6594",57,"Gratiot",0,40711,21924,18787,18978,18116,2403,119,86,130,164,135,9,7,1414,1166,284,280,37094,2522,216,299,16,2580,564
"6611",57,"Gratiot",17,856,363,493,359,483,1,1,0,2,1,2,0,0,14,5,2,5,842,2,2,3,0,19,7
